,cam:finishDate,cam:siglaUFRepresentacao,cam:startDate,org:member,org:role,slp:resource_uri_x,cam:dataFalecimento,cam:dataNascimento,cam:ideCadastro,cam:nomeCivil,cam:nomeParlamentarAtual,slp:resource_uri_y
0,,AC,2015-02-01,64965d06-916a-4ef9-a8c7-886055dc979e,22a2ecf6-5f03-4da9-bc89-48319d152403,9589fe93-2270-4940-be3c-706111bf6b69,,1976-10-23,178836,ALAN RICK MIRANDA,ALAN RICK,64965d06-916a-4ef9-a8c7-886055dc979e
1,,PB,2015-02-01,908bcac7-6fc7-4957-9ae9-00a46ad10a37,22a2ecf6-5f03-4da9-bc89-48319d152403,e896acb8-0da3-4e4a-b235-355c1a01f7cb,,1969-02-13,160527,AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,908bcac7-6fc7-4957-9ae9-00a46ad10a37
2,,BA,2015-02-01,e4e93a22-8177-400a-8231-2e8ae9d06a12,22a2ecf6-5f03-4da9-bc89-48319d152403,30eb6da8-3308-45a0-bfd8-0f6f9884133c,,1960-10-15,160508,AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,e4e93a22-8177-400a-8231-2e8ae9d06a12
3,2017-10-30,MT,2015-02-01,0a39e693-7990-4118-8637-278d778df124,22a2ecf6-5f03-4da9-bc89-48319d152403,76e294dc-7b1a-48d5-8f15-6888f59c42d2,,1956-02-05,178903,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,0a39e693-7990-4118-8637-278d778df124
4,,RS,2015-02-01,abf442cf-ef29-40f6-8929-9a4066570ed2,22a2ecf6-5f03-4da9-bc89-48319d152403,39df2d4d-6954-4abf-909f-7ab27d22870f,,1962-04-25,136811,JOSÉ ALFONSO EBERT HAMM,AFONSO HAMM,abf442cf-ef29-40f6-8929-9a4066570ed2
5,,RS,2015-02-01,92f42906-8bf7-4ede-9623-d436a052aa3a,22a2ecf6-5f03-4da9-bc89-48319d152403,ec10f162-c563-4433-9387-8415f1b94223,,1950-01-08,178835,AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,92f42906-8bf7-4ede-9623-d436a052aa3a
6,,MG,2015-02-01,8b012d6f-1eef-426e-b2af-921d2cb147f1,22a2ecf6-5f03-4da9-bc89-48319d152403,dc45565d-8c4d-4c06-96ac-22cb3a0c228f,,1961-12-15,141372,AELTON JOSÉ DE FREITAS,AELTON FREITAS,8b012d6f-1eef-426e-b2af-921d2cb147f1
7,,PE,2015-02-01,8d0f8273-6da1-42f9-8125-8fb4ab094096,22a2ecf6-5f03-4da9-bc89-48319d152403,05a9bee8-7c33-427e-b5d2-5d0b96a7f17f,,1958-02-10,178914,ADALBERTO CAVALCANTI RODRIGUES,ADALBERTO CAVALCANTI,8d0f8273-6da1-42f9-8125-8fb4ab094096
8,,SE,2015-02-01,fd86d643-1fd8-426e-a8df-cd68d2ec79b9,22a2ecf6-5f03-4da9-bc89-48319d152403,4ae24afb-27c1-4402-b382-c6cdba7b12f2,,1964-09-22,178968,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,fd86d643-1fd8-426e-a8df-cd68d2ec79b9
9,2015-11-17,CE,2015-02-01,55df2c80-2de5-4739-b227-bcd41d1ee1f1,22a2ecf6-5f03-4da9-bc89-48319d152403,9f4d98a9-b378-4971-8ea1-bd32ad6d6006,,1963-07-11,178864,JOSE ADAIL CARNEIRO SILVA,ADAIL CARNEIRO,55df2c80-2de5-4739-b227-bcd41d1ee1f1
10,2015-03-06,MG,2015-02-01,cc98fbfb-234a-4cac-98f7-2b45bdfdd530,22a2ecf6-5f03-4da9-bc89-48319d152403,7ace6835-287b-4a44-b8f6-ba29e65e4f6d,,1949-05-25,178890,ADELMO CARNEIRO LEAO,ADELMO CARNEIRO LEÃO,cc98fbfb-234a-4cac-98f7-2b45bdfdd530
11,2015-08-06,CE,2015-02-01,afecd733-1fa9-4a4b-b639-5302baec6ad9,22a2ecf6-5f03-4da9-bc89-48319d152403,2cecb00e-c6aa-4226-8381-7d73083597e6,,1949-08-22,74213,ANTONIO BALHMANN CARDOSO NUNES FILHO,ANTONIO BALHMANN,afecd733-1fa9-4a4b-b639-5302baec6ad9
12,,BA,2015-02-01,2dd6db55-28c2-4607-8784-d8f45f9e2177,22a2ecf6-5f03-4da9-bc89-48319d152403,50c00add-7b3c-49b7-bbda-8a046d76e306,,1969-01-17,160553,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,ANTONIO BRITO,2dd6db55-28c2-4607-8784-d8f45f9e2177
13,,AC,2015-02-01,9fa16f07-1fa8-432c-a3e4-6ac61dd14055,22a2ecf6-5f03-4da9-bc89-48319d152403,fbd1cc31-eb42-4c9d-ae1b-04d56b2fc83a,,1955-02-19,178837,RAIMUNDO ANGELIM VASCONCELOS,ANGELIM,9fa16f07-1fa8-432c-a3e4-6ac61dd14055
14,2016-04-28,CE,2015-02-01,c5830278-3b13-43b0-8dbd-6b22d04918d2,22a2ecf6-5f03-4da9-bc89-48319d152403,6be2bec0-f09c-4261-b554-8b8d86842621,,1953-06-07,74212,ANÍBAL FERREIRA GOMES,ANÍBAL GOMES,c5830278-3b13-43b0-8dbd-6b22d04918d2
15,,RR,2015-02-01,12f10ca3-2568-4cbc-ba6a-56a5c799eb2f,22a2ecf6-5f03-4da9-bc89-48319d152403,1e5ee710-0755-4e70-8b3e-6fe65da79237,,1962-03-29,178957,ABEL SALVADOR MESQUITA JUNIOR,ABEL MESQUITA JR.,12f10ca3-2568-4cbc-ba6a-56a5c799eb2f
16,,SP,2015-02-01,01aab937-df9a-4fb6-b751-789b10f77a10,22a2ecf6-5f03-4da9-bc89-48319d152403,f22d6356-08e9-4b8f-b402-be482449d0ab,,1968-05-05,141383,ANTONIO CARLOS MARTINS DE BULHÕES,ANTONIO BULHÕES,01aab937-df9a-4fb6-b751-789b10f77a10
17,,CE,2015-02-01,461af638-907e-4e3d-a786-6208567bae6c,22a2ecf6-5f03-4da9-bc89-48319d152403,1b1398ee-078b-4416-b1ac-5d011cee2407,,1971-02-16,178865,FLAVIO ALVES SABINO,CABO SABINO,461af638-907e-4e3d-a786-6208567bae6c
18,,MA,2015-02-01,eff1391c-b46a-4f2e-bfce-65f9eddd3b35,22a2ecf6-5f03-4da9-bc89-48319d152403,68710f6f-b752-4b25-a763-ae7ede159c3d,,1961-11-11,178881,ALUISIO GUIMARAES MENDES FILHO,ALUISIO MENDES,eff1391c-b46a-4f2e-bfce-65f9eddd3b35
19,,PA,2015-02-01,f5735090-acbc-4d7b-b4bc-bdcd1c15c92a,22a2ecf6-5f03-4da9-bc89-48319d152403,1fa6850d-3c5d-4b4b-a7ac-05c562e6ee7d,,1969-06-20,141335,JOSÉ ROBERTO OLIVEIRA FARO,BETO FARO,f5735090-acbc-4d7b-b4bc-bdcd1c15c92a
20,,PR,2015-02-01,9aba8810-4581-4f77-ac52-73f353b125ad,22a2ecf6-5f03-4da9-bc89-48319d152403,bb727462-c702-4fe9-9bbb-c0488a9b46e2,,1961-10-17,74378,ASSIS MIGUEL DO COUTO,ASSIS DO COUTO,9aba8810-4581-4f77-ac52-73f353b125ad
21,,RJ,2015-02-01,d327aa35-6715-4841-a8df-e7288a767a03,22a2ecf6-5f03-4da9-bc89-48319d152403,65339d02-bb00-466d-bcb9-4150faa58586,,1976-03-30,178938,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,d327aa35-6715-4841-a8df-e7288a767a03
